Nom du lieu;Adresse;Code postal;Ville;Latitude;Longitude;Type de parking;Source;Places;PMR;Transport public;Prix;Ouverture;Commentaire;Proprietaire;Lumière;Velo
Place de Bohas;D979 Place de Bohas;1250;Bohas- Meyriat Rignat;46.159947220000049;5.388425;Parking;01 CA du bassin de Bourg-en-Bresse;2;;;;;;;;
Parking Bel Air;route de Neuville - Parking Bel Air;1400;Chatillon Sur Chalaronne;46.129005559999982;4.964663889000064;Parking;01 CA du bassin de Bourg-en-Bresse;10;;;;;;;;
Parking La Genetiere;route de Bourg - La Genetiere;1400;Chaveyriat;46.178102780000017;5.073319444000048;Parking;01 CA du bassin de Bourg-en-Bresse;5;;;;;;;;
Place du Logis Neuf;place du Logis Neuf;1310;Confraneon;46.25655278000005;5.05549722199999;Parking;01 CA du bassin de Bourg-en-Bresse;3;;;;;;;;
Place de L'Eglise;route de Pont d'Ain - Monument aux morts;1160;Druillat;46.059111109999989;5.31775;Parking;01 CA du bassin de Bourg-en-Bresse;1;;;;;;;;
Place Sans Souci;place sans souci;1250;Jasseron;46.213938890000044;5.3263;Parking;01 CA du bassin de Bourg-en-Bresse;3;;;;;;;;
Parking Chemin de L'Ecole;chemin de l'école;1340;Jayat;46.369072220000028;5.119902778000023;Parking;01 CA du bassin de Bourg-en-Bresse;3;;;;;;;;
Place General de gaulle;Place du Général de gaulle;1340;Montrevel;46.335733330000032;5.125961111000016;Parking;01 CA du bassin de Bourg-en-Bresse;5;;;;;;;;
Parking du Stade;"route saint martin le châtel ""stade""";1310;Polliat;46.251132;5.126572;Parking;01 CA du bassin de Bourg-en-Bresse;8;;;;;;;;
Parking des Sports;D1083 - parking des sports;1960;Servas;46.131197220000011;5.163272222000028;Parking;01 CA du bassin de Bourg-en-Bresse;3;;;;;;;;
Terrain de Boules - Chemin des Lyonnières;chemin des Lyonnières - terrain de boules;1370;St Etienne-Du-Bois;46.283222220000049;5.289722222000027;Parking;01 CA du bassin de Bourg-en-Bresse;5;;;;;;;;
Place de La Fontaine;place de la fontaine/ anciens combattants;1250;Tossiat;46.141572220000022;5.316269444000016;Parking;01 CA du bassin de Bourg-en-Bresse;1;;;;;;;;
Mairie de Vandeins;rue de la mairie;1660;Vandeins;46.215841670000053;5.078811111;Parking;01 CA du bassin de Bourg-en-Bresse;3;;;;;;;;
Aire de covoiturage du Mionnay;Mionnay;1390;Mionnay;45.883101696928136;4.899796870719769;Sortie_autoroute;01 CC de la Dombes;21;;;;;;;;
Aire de covoiturage Château-Gaillard;Château-Gaillard;1500;Château-Gaillard;45.977088;5.311396;Sortie_autoroute;01 CC de la Plaine de l’Ain;15;;;;;;;;
Aire de covoiturage Pérouges;Pérouges;1800;Pérouges;45.860683;5.182171;Sortie_autoroute;01 CC de la Plaine de l’Ain;12;;;;;;;;
Aire de covoiturage Saint-Maurice-De-Beynost;Saint-Maurice-de-Beynost;1700;Saint-Maurice-De-Beynost;45.820935;4.989172;Sortie_autoroute;01 CC de Miribel et du Plateau;80;;Réseau bus Colibri : lignes 1 et 2 - arrêt : Pilon;;;;;;
Péage Laon;Gare de Péage, Autoroute A26, 02000 Chambry;2000;Chambry;49.60744757;3.663798596;Sortie_autoroute;02 CD02 Ainse;;;;;;;;;
Super U Charly Sur Marne;Route de Pavant, 02310 Charly-sur-Marne;2310;Charly-Sur-Marne;48.97251912;3.282443232;Supermarket;02 CD02 Ainse;;;;;;;;;
Carrefour Château Thierry;37 Avenue d'Essômes, 02400 Château-Thierry;2400;Chateau-Thierry;49.0406979;3.387474767;Supermarket;02 CD02 Ainse;;;;;;;;;
Mairie de Condé En Brie;1 Rond-Point du Cahot, 02330 Condé-en-Brie;2330;Condé En Brie;49.00457585;3.555901022;Aire-covoiturage;02 CD02 Ainse;;;;;;;;;
Parking Écoquartier Crézancy;2 Rue de Paris, 02650 Crézancy;2650;Crezancy;49.04996586;3.513723672;Aire-covoiturage;02 CD02 Ainse;;;;;;;;;
Super U Fère En Tardenois;Fère en Tardenois, 02130 Fère-en-Tardenois;2130;Fere-En-Tardenois;49.20296656;3.516296885;Supermarket;02 CD02 Ainse;;;;;;;;;
Aire de covoiturage de Bizeneuille;Lieudit Fragne ;3170;Bizeneuille;46.38681335;2.69891609;Aire_covoiturage;03 CD03 Allier;;;;;;;;;
Aire de Chemilly;Echangeur RCEA (N79) ;3210;Chemilly;46.47358012;3.31629589;Aire_covoiturage;03 CD03 Allier;;;;;;;;;
Parking du Bourg;Place de la LIberté (face garage Renault);3430;Cosne-D'Allier;46.47558623;2.83054592;Parking;03 CD03 Allier;3;;;;;;;;
Aire de covoiturage du Creuzier;Lieudit les Ancizes ;3300;Creuzier Le Neuf;46.18481218;3.45437124;Aire_covoiturage;03 CD03 Allier;;;;;;;;;
Parking de La Verne;Parking de la Verne ;3630;Desertines;46.34439195;2.62639058;Parking;03 CD03 Allier;3;;;;;;;;
Stade;Parking du Stade ;3410;Domerat;46.35823287;2.54675315;Parking;03 CD03 Allier;50;;;;;;;;
Parking Thomassots;Les Thomassots ;3290;Dompierre-Sur-Besbre;46.51791574;3.68849384;Parking;03 CD03 Allier;6;;;;;;;;
Aire de covoiturage des Chillins;Les Chillins proximité echangeur A71/A719;3800;Gannat;46.10311391;3.13837825;Aire_covoiturage;03 CD03 Allier;20;;;;;;;;
Parking de La Mairie;Le Bourg ;3210;Gipcy;46.50258963;3.05378868;Parking;03 CD03 Allier;5;;;;;;;;
Place du Marché Couvert;Place du Marché Couvert;3220;Jaligny-Sur-Besbre;46.37931377;3.59436117;Parking;03 CD03 Allier;5;;;;;;;;
Aire des Vérités;Bellevue ;3120;Lapalisse;46.24541141;3.61326614;Aire_covoiturage;03 CD03 Allier;25;;;;;;;;
Place du Champ de Foire;Place du champ de foire ;3240;Le Montet;46.40858365;3.0535136;Parking;03 CD03 Allier;5;;;;;;;;
Parking Saint-Jean;Route de Néris;3100;Montluçon;46.32602626;2.6099707;Parking;03 CD03 Allier;5;;;;;;;;
Parking Salle Polyvalente;Salle Polyvalente, place de la Mairie;3340;Saint-Gerand-De-Vaux;46.38009454;3.40064274;Parking;03 CD03 Allier;6;;;;;;;;
Centre Aqualudique;Parking Centre Aqualudique;3410;Saint-Victor;46.37863358;2.58529404;Parking;03 CD03 Allier;5;;;;;;;;
Parking Lieu-Dit L'Hermitage;Lieudit l'Hermitage ;3220;Trezelles;46.32831573;3.58485918;Parking;03 CD03 Allier;4;;;;;;;;
Place de La Mairie;5 Place de la Mairie, 04510 Aiglun;4510;Aiglun;44.050758;6.144045;Parking;04 CD04 Alpes-de-Haute-Provence;;;;;;;;;
Parking Allée des Pins;4 Allée des Pins, 04400 Barcelonnette;4400;Barcelonnette;44.386475;6.635163;Parking;04 CD04 Alpes-de-Haute-Provence;;;;;;;;;
Parking du Cimetière;Le Village, 04330 Barrême;4330;Barrême;43.955113;6.372135;Parking;04 CD04 Alpes-de-Haute-Provence;;;;;;;;;
Parking Parcelle 683 Sur La D951, Ancien Point Relais Information;Les Mouliniers, 05190 Bréziers;5190;Bellaffaire;44.422655;6.184797;Parking;04 CD04 Alpes-de-Haute-Provence;;;;;;;;;
Place St Jean La Bégude, Bras D'Asse;1 Route de la Fontaine, 04270 Bras-d'Asse;4270;Bras-D'Asse;43.920125;6.13412;Parking;04 CD04 Alpes-de-Haute-Provence;;;;;;;;;
Parking du Passavour;La cabine du passavour, 04200 Curel;4200;Curel;44.176217;5.672785;Parking;04 CD04 Alpes-de-Haute-Provence;;;;;;;;;
Parking Décathlon Route de Marseille;5 Route de Marseille, 04000 Digne-les-Bains;4000;Digne;44.069529;6.178870;Parking;04 CD04 Alpes-de-Haute-Provence;;;;;;;;;
Parking Entrée de Village ;D907 À Droite À L'Entrée Du Village En Arrivant De Mézel.;4270;Estoublon;43.943831;6.171250;Parking;04 CD04 Alpes-de-Haute-Provence;;;;;;;;;
Place de L'Église;2 Le Village, 04400 Faucon-de-Barcelonnette;4400;Faucon-De-Barcelonnette;44.393746;6.678269;Parking;04 CD04 Alpes-de-Haute-Provence;;;;;;;;;
Parking de La Poste;PLACE FERNAND GILLY, Lotissement le Clôt, 04400 Les Thuiles;4400;Les Thuiles;44.394026;6.572451;Parking;04 CD04 Alpes-de-Haute-Provence;;;;;;;;;
"Parking devant Le Camping ""Les Lauzons""";Les Bouires;4300;Limans;43.973047;5.733151;Parking;04 CD04 Alpes-de-Haute-Provence;;;;;;;;;
Parking de L'Esplanade Jean Moulin;4586 Avenue du Général de Gaulle, 04510 Mallemoisson;4510;Mallemoisson ;44.041722;6.126217;Parking;04 CD04 Alpes-de-Haute-Provence;;;;;;;;;
Parking Au Carrefour des 4 Chemins;D117 & D17;4510;Mirabeau;44.05902;6.10239;Parking;04 CD04 Alpes-de-Haute-Provence;;;;;;;;;
Parking du Croisement D460 Et Rn202 (Au Passage À Niveau);D460, 04240 Saint-Benoît;4240;St Benoît;43.960158;6.724074;Parking;04 CD04 Alpes-de-Haute-Provence;;;;;;;;;
Parking du Quartier Les Bourres;19 Les Bourres, 04380 Thoard;4380;Thoard;44.136228;6.132315;Parking;04 CD04 Alpes-de-Haute-Provence;;;;;;;;;
Parking de La Za des Chabrand;15 Traverse du Bachelard, 04400 Barcelonnette;4400;Uvernet-Fours;44.377922;6.627212;Parking;04 CD04 Alpes-de-Haute-Provence;;;;;;;;;
Parking de La Salle Polyvalente;6018 Pl. Frederic Mistral, 04210 Valensole;4210;Valensole;43.836375;5.986746;Parking;04 CD04 Alpes-de-Haute-Provence;;;;;;;;;
Aire de Loisirs Mathieu Perona;33 La Coueste, 04290 Volonne;4290;Volonne;44.109882;6.009842;Parking;04 CD04 Alpes-de-Haute-Provence;;;;;;;;;
Aire de covoiturage de Volx;A51, 04130 Volx;4130;Volx;43.842979;5.848225;Aire_covoiturage;04 CD04 Alpes-de-Haute-Provence;;;;;;;;;
Parc Relais Alambic;D9, 06130 Grasse;6130;Grasse ;43.641102;6.936138;P+R;06 CD06 Alpes-Maritimes;;;;;;;;;
Parc Relais La Canardière;Zone Industrielle De La Canardière, Avenue du Maréchal Lyautey, 06210 Mandelieu-la-Napoule;6210;Mandelieu La Napoule ;43.553332;6.946097;P+R;06 CD06 Alpes-Maritimes;;;;;;;;;
