n_amenageur;n_operateur;n_enseigne;id_station;n_station;ad_station;code_insee;Xlongitude;Ylatitude;nbre_pdc;id_pdc;puiss_max;type_prise;acces_recharge;accessibilite;observations;date_maj
Ville d'Avray;BOUYGUES ENERGIES ET SERVICES;Alizé Liberté;FR*V12*P92077*003;VILLE D'AVRAY - Avenue Thierry;Avenue Thierry 92410 VILLE D'AVRAY;92077;2,1791586;48,8278246;2;FR*V12*E92077*003*1;22;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Ville d'Avray;BOUYGUES ENERGIES ET SERVICES;Alizé Liberté;FR*V12*P92077*003;VILLE D'AVRAY - Avenue Thierry;Avenue Thierry 92410 VILLE D'AVRAY;92077;2,1791586;48,8278246;2;FR*V12*E92077*003*2;22;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Ville d'Avray;BOUYGUES ENERGIES ET SERVICES;Alizé Liberté;FR*V12*P92077*004;VILLE D'AVRAY - Chemin Desvalieres;Chemin Desvalieres 92410 VILLE D'AVRAY;92077;2,1969662;48,8236932;2;FR*V12*E92077*004*1;22;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Ville d'Avray;BOUYGUES ENERGIES ET SERVICES;Alizé Liberté;FR*V12*P92077*004;VILLE D'AVRAY - Chemin Desvalieres;Chemin Desvalieres 92410 VILLE D'AVRAY;92077;2,1969662;48,8236932;2;FR*V12*E92077*004*2;22;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Ville d'Avray;BOUYGUES ENERGIES ET SERVICES;Alizé Liberté;FR*V12*P92077*006;VILLE D'AVRAY - Rue De La Ronce;Rue De La Ronce 92410 VILLE D'AVRAY;92077;2,1881317;48,8233289;2;FR*V12*E92077*006*1;22;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Ville d'Avray;BOUYGUES ENERGIES ET SERVICES;Alizé Liberté;FR*V12*P92077*006;VILLE D'AVRAY - Rue De La Ronce;Rue De La Ronce 92410 VILLE D'AVRAY;92077;2,1881317;48,8233289;2;FR*V12*E92077*006*2;22;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Ville d'Avray;BOUYGUES ENERGIES ET SERVICES;Alizé Liberté;FR*V12*P92077*005;VILLE D'AVRAY - Chemin Desvalieres;Chemin Desvalieres 92410 VILLE D'AVRAY;92077;2,194737;48,8220449;2;FR*V12*E92077*005*1;22;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Ville d'Avray;BOUYGUES ENERGIES ET SERVICES;Alizé Liberté;FR*V12*P92077*005;VILLE D'AVRAY - Chemin Desvalieres;Chemin Desvalieres 92410 VILLE D'AVRAY;92077;2,194737;48,8220449;2;FR*V12*E92077*005*2;22;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Ville d'Avray;BOUYGUES ENERGIES ET SERVICES;Alizé Liberté;FR*V12*P92077*002;VILLE D'AVRAY - Rue Des Marnes;Rue Des Marnes 92410 VILLE D'AVRAY;92077;2,1836459;48,8282496;2;FR*V12*E92077*002*2;22;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Ville d'Avray;BOUYGUES ENERGIES ET SERVICES;Alizé Liberté;FR*V12*P92077*002;VILLE D'AVRAY - Rue Des Marnes;Rue Des Marnes 92410 VILLE D'AVRAY;92077;2,1836459;48,8282496;2;FR*V12*E92077*002*1;22;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Ville d'Avray;BOUYGUES ENERGIES ET SERVICES;Alizé Liberté;FR*V12*P92077*001;VILLE D'AVRAY - Rue De Versailles;Rue De Versailles 92410 VILLE D'AVRAY;92077;2,1815954;48,8217601;2;FR*V12*E92077*001*1;22;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Ville d'Avray;BOUYGUES ENERGIES ET SERVICES;Alizé Liberté;FR*V12*P92077*001;VILLE D'AVRAY - Rue De Versailles;Rue De Versailles 92410 VILLE D'AVRAY;92077;2,1815954;48,8217601;2;FR*V12*E92077*001*2;22;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
GOLF CLUB DE LYON;BOUYGUES ENERGIES ET SERVICES;Alizé Liberté;FR*G53*P38557*001;VILLETTE D'ANTHON - Rue Des Acacias - Horaires d’ouverture : 8h30-17h30 ;Rue Des Acacias - Horaires d’ouverture : 8h30-17h30 38280 VILLETTE D'ANTHON;38557;5,111916;45,803378;4;FR*G53*E38557*001*3;18;T3 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
