n_amenageur;n_operateur;n_enseigne;id_station;n_station;ad_station;code_insee;Xlongitude;Ylatitude;nbre_pdc;id_pdc;puiss_max;type_prise;acces_recharge;accessibilité;observations;date_maj
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*3*_*_*_;Bron Avenue Pierre Brossolette;Face au 81 Avenue Pierre Brossolette, Bron;69029;4.919721;45.742366;4;FR*GLY*E*LYON*3*1*1*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*3*_*_*_;Bron Avenue Pierre Brossolette;Face au 81 Avenue Pierre Brossolette, Bron;69029;4.919721;45.742366;4;FR*GLY*E*LYON*3*2*1*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*1*_*_*_;Collonges-au-Mont-d'Or Avenue César Paulet;Face au 8 Avenue César Paulet, Collonges-au-Mont-d'Or;69063;4.842099;45.817736;4;FR*GLY*E*LYON*1*1*1*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*1*_*_*_;Collonges-au-Mont-d'Or Avenue César Paulet;Face au 8 Avenue César Paulet, Collonges-au-Mont-d'Or;69063;4.842099;45.817736;4;FR*GLY*E*LYON*1*2*1*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*2*_*_*_;Craponne Parking Curtil;Parking Curtil, Craponne;69069;4.725522;45.746018;4;FR*GLY*E*LYON*2*1*1*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*2*_*_*_;Craponne Parking Curtil;Parking Curtil, Craponne;69069;4.725522;45.746018;4;FR*GLY*E*LYON*2*2*1*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*6*_*_*_;Corbas Rue des Frênes;Rue des Frênes, Corbas;69273;4.894663;45.664925;4;FR*GLY*E*LYON*6*1*1*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*6*_*_*_;Corbas Rue des Frênes;Rue des Frênes, Corbas;69273;4.894663;45.664925;4;FR*GLY*E*LYON*6*2*1*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*8*_*_*_;Décines-Charpieu Toboggan;Parking Nord du Toboggan, Décines-Charpieu;69275;4.955587;45.769151;4;FR*GLY*E*LYON*8*1*1*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*8*_*_*_;Décines-Charpieu Toboggan;Parking Nord du Toboggan, Décines-Charpieu;69275;4.955587;45.769151;4;FR*GLY*E*LYON*8*2*1*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*10*_*_*_;Ecully Rue Auguste Tramier;Rue Auguste Tramier, Ecully;69081;4.781649;45.774545;4;FR*GLY*E*LYON*10*1*1*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*10*_*_*_;Ecully Rue Auguste Tramier;Rue Auguste Tramier, Ecully;69081;4.781649;45.774545;4;FR*GLY*E*LYON*10*2*1*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*13*_*_*_;Grigny Avenue Jean Estragnat;Parking Avenue Jean Estragnat, Grigny;69096;4.789628;45.609585;4;FR*GLY*E*LYON*13*1*1*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*13*_*_*_;Grigny Avenue Jean Estragnat;Parking Avenue Jean Estragnat, Grigny;69096;4.789628;45.609585;4;FR*GLY*E*LYON*13*2*1*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*17*_*_*_;Meyzieu Rue Jean-Louis Barrault;Face au 17 Rue Jean-Louis Barrault, Meyzieu;69282;5.009728;45.767571;4;FR*GLY*E*LYON*17*1*1*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
