n_amenageur,n_operateur,n_enseigne,id_station,n_station,ad_station,code_insee,Xlongitude,Ylatitude,nbre_pdc,id_pdc,puiss_max,type_prise,acces_recharge,accessibilité,observations,date_maj
Ville de Metz,BOUYGUES ENERGIES & SERVICES,Alizé,FR*123*P000MM001,Place du Général de Gaulle,N°4 Place du Général de Gaulle à METZ,57463,6.177794,49.110594,2,FR*A23*E00A01B,50,chademo / combo / domestique ,2€/recharge+ prix du stationnement,24/24 et 7/7,,2020/09/10
Ville de Metz,BOUYGUES ENERGIES & SERVICES,Alizé,FR*123*P000MM002,Place de la Préfecture,Place de la Préfecture à METZ,57463,6.1753782,49.1220154,2,FR*A23*E00A02B,50,chademo / combo / domestique ,2€/recharge,24/24 et 7/7,,2020/09/10
Ville de Metz,BOUYGUES ENERGIES & SERVICES,Alizé,FR*123*P000MM003,Rue du Chanoine Collin,N°1 Rue du Chanoine Collin à METZ,57463,6.177168,49.120381,2,FR*A23*E00A03B,50,chademo / combo / domestique ,2€/recharge,24/24 et 7/7,,2020/09/10
Ville de Metz,BOUYGUES ENERGIES & SERVICES,Alizé,FR*123*P000MM004,Place Saint Simplice,N°24 Place Saint Simplice à METZ,57463,6.179741,49.116592,2,FR*A23*E00A04B,22,type 2 / domestique ,2€/recharge,24/24 et 7/7,,2020/09/10
Ville de Metz,BOUYGUES ENERGIES & SERVICES,Alizé,FR*123*P000MM005,Place Mazelle,N°42/48 Place Mazelle à METZ,57463,6.184537,49.113936,2,FR*A23*E00A05B,22,type 2 / domestique ,2€/recharge,24/24 et 7/7,,2020/09/10
Ville de Metz,BOUYGUES ENERGIES & SERVICES,Alizé,FR*123*P000MM006,Place Jean Moulin,N°1 Place Jean Moulin à METZ,57463,6.1696601,49.1079671,2,FR*A23*E00A06B,22,type 2 / domestique ,2€/recharge,24/24 et 7/7,,2020/09/10
Ville de Metz,BOUYGUES ENERGIES & SERVICES,Alizé,FR*123*P000MM007,Place Philippe de Vigneulles,N°1bis Place Philippe de Vigneulles à METZ,57463,6.166665,49.106693,2,FR*A23*E00A07B,22,type 2 / domestique ,2€/recharge,24/24 et 7/7,,2020/09/10
Ville de Metz,BOUYGUES ENERGIES & SERVICES,Alizé,FR*123*P000MM008,Place du Roi George,N°1bis Place du Roi George à METZ,57463,6.172058,49.110752,2,FR*A23*E00A08B,22,type 2 / domestique ,2€/recharge,24/24 et 7/7,,2020/09/10
Ville de Metz,BOUYGUES ENERGIES & SERVICES,Alizé,FR*123*P000MM009,Rue Dembour,N°28 avenue André Malraux à METZ,57463,6.179202,49.106378,2,FR*A23*E00A09B,22,type 2 / domestique ,2€/recharge,24/24 et 7/7,,2020/09/10
Ville de Metz,BOUYGUES ENERGIES & SERVICES,Alizé,FR*123*P000MM010,Square Soeur Hélène,29 Place St Thiébault à METZ,57463,6.1771548,49.113094,2,FR*A23*E00A10B,22,type 2 / domestique ,2€/recharge,24/24 et 7/7,,2020/09/10
Ville de Metz,BOUYGUES ENERGIES & SERVICES,Alizé,FR*123*P000MM011,Rue d'Austrasie,N°1/3 Rue d'Austrasie à METZ,57463,6.173957,49.110457,2,FR*A23*E00A11B,22,type 2 / domestique ,2€/recharge,24/24 et 7/7,,2020/09/10
Ville de Metz,BOUYGUES ENERGIES & SERVICES,Alizé,FR*123*P000MM012,Place Saint Vincent,N°4 rue Belle Isle à METZ,57463,6.172152,49.123769,2,FR*A23*E00A12B,22,type 2 / domestique ,2€/recharge,24/24 et 7/7,,2020/09/10
Mairie de Scy-Schazelles,MAIRIE,IRVE Scy-Schazelles,FR*123*P000MM013,Mairie de Scy-Schazelles,N°1 rue de l'Esplanade à SCY-SCHAZELLES,57642,6.1166312,49.1139599,2,FR*A23*E00A13B,22,1 prise type 2  / 1 prise type 3C,gratuit,24/24 et 7/7,,2020/09/10
Metz Métropole,FRESHMILE,Parking GARE POMPIDOU,FR*123*P000MM014,Parking GARE POMPIDOU,"108bis Rue aux Arènes, 57000 Metz",57463,6.179573,49.107869,2,FR*A23*E00A14B,22,type 1 et type 2,gratuit pour la clientèle du parking,24/24 et 7/7,,2020/09/10
Metz Métropole,FRESHMILE,Parking REPUBLIQUE,FR*123*P000MM015,Parking REPUBLIQUE,"1 Avenue Ney, 57000 METZ",57463,6.1713654,49.1155152,4,FR*A23*E00A15B,22,domicile / type 2 / type 3,gratuit pour la clientèle du parking,24/24 et 7/7,,2020/09/10
Metz Métropole,FRESHMILE,Parking COMEDIE / THEATRE,FR*123*P000MM016,Parking COMEDIE / THEATRE,"Place de la Comédie, 57000 Metz",57463,6.1730201,49.1211086,2,FR*A23*E00A16B,22,type 1 / type 2,gratuit pour la clientèle du parking,24/24 et 7/7,,2020/09/10
Metz Métropole,FRESHMILE,Parking GARE CHARLES DE GAULLE,FR*123*P000MM017,Parking GARE CHARLES DE GAULLE,"Gare Charles de Gaulle - SNCF parking Gare Charles De Gaulle, 57000 Metz",57463,6.1769032,49.1102765,2,FR*A23*E00A17B,22,type 1 / type 2,gratuit pour la clientèle du parking,24/24 et 7/7,,2020/09/10
Metz Métropole,SNC Mazelle,Parking MAZELLE,FR*123*P000MM018,Parking MAZELLE,"Passage de Plantières, 57000 Metz",57463,6.1843274,49.1135352,2,FR*A23*E00A18B,6,domestique,gratuit pour la clientèle du parking,24/24 et 7/7,,2020/09/10
Metz Métropole,SNC Paixhans,Parking PAIXHANS,FR*123*P000MM019,Parking PAIXHANS,"8 Rue du Général Fournier, 57000 Metz",57463,6.1849207,49.1213309,2,FR*A23*E00A19B,6,domestique,gratuit pour la clientèle du parking,24/24 et 7/7,,2020/09/10
Metz Métropole,Q PARK,Parking COISLIN,FR*123*P000MM020,Parking COISLIN,"7 Rue Coislin, 57000 Metz",57463,6.180051,49.115003,2,FR*A23*E00A20B,11,Type 2 / domestique ,gratuit pour la clientèle du parking,24/24 et 7/7,,2020/09/10
Metz Métropole,FRESHMILE,Parking CATHEDRALE,FR*123*P000MM022,Parking CATHEDRALE,"Rue d'Estrée, 57000 Metz",57463,6.174262,49.120048,2,FR*A23*E00A22B,22,domestique / type 2,gratuit pour la clientèle du parking,24/24 et 7/7,,2020/09/10
Metz Métropole,UEM,Connect&Go,FR*123*P000MM023,P+R Foire Expo,"Rue de la Grange aux Bois, 57070 Metz",57463,6.2323055,49.0912503,3,FR*A23*E00A23B,22,domestique / type 2  / type 3c,gratuit pour la clientèle du parking,24/24 et 7/7,,2020/09/10
Metz Métropole,UEM,Connect&Go,FR*123*P000MM024,P+R Woippy,"Rue du Fort Gambetta, 57140 Woippy",57751,6.1728225,49.150647,2,FR*A23*E00A24B,22,domestique / type 2  / type 3c,gratuit pour la clientèle du parking,24/24 et 7/7,,2020/09/10
Metz Métropole,UEM,Connect&Go,FR*123*P000MM025,P+R Rochambeau,"Pont Jean Monnet, 57000 Metz",57463,6.1707429,49.1303076,1,FR*A23*E00A25B,22,domestique / type 3c,gratuit pour la clientèle du parking,24/24 et 7/7,,2020/09/10
Metz Métropole,BOUYGUES ENERGIES & SERVICES,Alizé,FR*P07*E57463*002,Parking GARE SAINT THIEBAULT,"Pl. St Thiébault, 57000 Metz",57463,6.17842,49.112548,2,FR*P07*E57463*002*2,22,domestique / type 2,gratuit pour la clientèle du parking,24/24 et 7/7,,2020/09/10
Metz Métropole,BOUYGUES ENERGIES & SERVICES,Alizé,FR*P07*E57463*002,Parking GARE SAINT THIEBAULT,"Pl. St Thiébault, 57000 Metz",57463,6.17842,49.112548,2,FR*P07*E57463*002*1,22,domestique / type 2,gratuit pour la clientèle du parking,24/24 et 7/7,,2020/09/10
